title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
Five Came Back: The Reference Films,SHOW,1945,TV-MA,48,['documentation'],['US'],1.0,,,
Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],,tt0075314,8.3,795222.0
Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],,tt0071853,8.2,530877.0
Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],,tt0079470,8.0,392419.0
The Exorcist,MOVIE,1973,R,133,['horror'],['US'],,tt0070047,8.1,391942.0
Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,72895.0
Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],,tt0066999,7.7,153463.0
My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],,tt0058385,7.8,94121.0
The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],,tt0080453,5.8,69053.0
Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],,tt0061418,7.7,111189.0
The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],,tt0060862,7.3,16168.0
The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",,tt0054953,7.5,50150.0
Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],,tt0079833,7.6,30277.0
Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],,tt0079807,8.1,5141.0
The Long Riders,MOVIE,1980,R,99,"['western', 'crime']",['US'],,tt0081071,6.9,11329.0
White Christmas,MOVIE,1954,,115,"['romance', 'comedy', 'music']",['US'],,tt0047673,7.5,42373.0
Cairo Station,MOVIE,1958,,77,"['drama', 'crime', 'comedy']",['EG'],,tt0051390,7.5,4385.0
The Queen,MOVIE,1968,,68,['documentation'],['US'],,tt0183686,7.2,1117.0
Hitler: A Career,MOVIE,1977,PG,150,"['documentation', 'history', 'european']",['DE'],,tt0191182,7.5,2416.0
FTA,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",['US'],,tt0068562,6.2,411.0
Saladin the Victorious,MOVIE,1963,,186,"['drama', 'war', 'action', 'history', 'romance']",['EG'],,tt0057357,7.6,2470.0
Singapore,MOVIE,1960,,158,"['drama', 'thriller', 'crime']",['IN'],,tt0268639,6.4,82.0
Dark Waters,MOVIE,1956,,120,"['drama', 'action', 'romance', 'thriller']",['EG'],,tt0049761,6.7,590.0
Alexandria… Why?,MOVIE,1979,,133,['drama'],['EG'],,tt0077751,7.2,1689.0
Raya and Sakina,MOVIE,1953,,105,"['drama', 'thriller', 'crime', 'history']",['EG'],,tt0316472,6.8,231.0
No Longer Kids,MOVIE,1979,,235,"['comedy', 'drama']",['EG'],,tt8312792,9.0,943.0
Amrapali,MOVIE,1966,,120,['fantasy'],['IN'],,tt0060104,6.7,225.0
Dostana,MOVIE,1980,,161,"['drama', 'comedy', 'romance', 'action', 'crime']",['IN'],,tt0080653,2.1,25.0
The Blazing Sun,MOVIE,1954,,100,"['romance', 'crime', 'drama']",['EG'],,tt0044429,7.4,1219.0
Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],1.0,tt0202477,8.1,2144.0
The Return of the Prodigal Son,MOVIE,1976,,124,"['drama', 'crime']","['DZ', 'EG']",,tt0074168,7.2,768.0
Prince,MOVIE,1969,,152,['romance'],['IN'],,tt0064842,6.9,168.0
Lock Your Girls In,MOVIE,1980,,230,['comedy'],['EG'],,,,
The Witness Who Didn't See Anything,MOVIE,1976,,217,['comedy'],['EG'],,,,
The School of Mischief,MOVIE,1973,,251,['comedy'],['EG'],,,,
Manoranjan,MOVIE,1974,,162,"['comedy', 'drama', 'romance']",['IN'],,tt0071811,6.5,236.0
"Beirut, Oh Beirut",MOVIE,1975,,110,['drama'],['LB'],,tt0169599,6.5,106.0
We Are All for the Fatherland,MOVIE,1979,,74,['documentation'],"['FR', 'LB', 'CA']",,tt0170799,6.2,43.0
Whispers,MOVIE,1980,,93,['documentation'],"['FR', 'LB', 'CA']",,tt0170803,7.8,75.0
Lal Patthar,MOVIE,1971,,153,['drama'],['IN'],,tt0237395,6.2,137.0
Ujala,MOVIE,1959,,142,"['romance', 'crime', 'drama']",['IN'],,tt0157132,6.7,78.0
Alibaba Aur 40 Chor,MOVIE,1979,,138,"['drama', 'action', 'romance', 'family', 'fantasy']","['IN', 'SU']",,tt0079749,6.2,555.0
Professor,MOVIE,1962,,163,"['romance', 'comedy', 'drama']",['IN'],,tt0056379,6.8,285.0
Chadi Jawani Budhe Nu,MOVIE,1976,,135,['romance'],['IN'],,tt3290368,4.6,14.0
Bandie,MOVIE,1978,,141,"['drama', 'romance', 'action']",['IN'],,tt1219315,4.2,35.0
Khoon Khoon,MOVIE,1973,,131,"['drama', 'crime', 'thriller']",['IN'],,tt0230412,5.1,41.0
Top Gun,MOVIE,1986,PG,110,"['drama', 'action']",['US'],,tt0092099,6.9,329656.0
Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],9.0,tt0098904,8.9,302700.0
Stand by Me,MOVIE,1986,R,89,['drama'],['US'],,tt0092005,8.1,392790.0
Once Upon a Time in America,MOVIE,1984,R,229,"['drama', 'crime', 'european']","['US', 'IT']",,tt0087843,8.3,342335.0
When Harry Met Sally...,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",['US'],,tt0098635,7.7,212913.0
Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",,tt0100758,6.7,92647.0
Full Metal Jacket,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",,tt0093058,8.3,723306.0
Christine,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],,tt0085333,6.7,80945.0
A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],['US'],,tt0087800,7.4,230543.0
Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4.0,tt0083437,6.9,33760.0
Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],,tt0099077,7.8,137549.0
Thomas & Friends,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24.0,tt0086815,6.5,4948.0
Annie,MOVIE,1982,PG,127,"['drama', 'family', 'comedy']",['US'],,tt0083564,6.6,44866.0
Pet Sematary,MOVIE,1989,R,103,"['horror', 'fantasy', 'thriller']",['US'],,tt0098084,6.5,102212.0
Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",['US'],5.0,tt0096694,7.1,34854.0
She's Gotta Have It,MOVIE,1986,R,84,"['comedy', 'romance']",['US'],,tt0091939,6.7,14277.0
Eddie Murphy Raw,MOVIE,1987,R,93,"['comedy', 'documentation']",['US'],,tt0092948,7.6,19646.0
Endless Love,MOVIE,1981,R,116,"['drama', 'romance']",['US'],,tt0082329,4.9,8374.0
Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],39.0,tt0072584,6.7,3126.0
Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4.0,tt0096643,6.4,2866.0
Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13.0,tt0329829,6.1,1759.0
Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10.0,tt0081848,7.4,3514.0
Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,,133,"['scifi', 'drama', 'war', 'animation', 'action']",['JP'],,tt0159510,7.2,1242.0
Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,,120,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],,tt0095262,7.3,1649.0
Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],,tt0307403,7.2,651.0
Tim Allen: Men Are Pigs,MOVIE,1990,,30,"['comedy', 'documentation']",['US'],,tt0259057,6.0,353.0
Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,"['comedy', 'documentation']",['GB'],,tt0084352,7.9,15186.0
The George McKenna Story,MOVIE,1988,,100,['drama'],['US'],,tt0091106,6.0,901.0
Unspeakable Acts,MOVIE,1990,,100,['drama'],['US'],,tt0100848,6.0,448.0
Waiting for the Hearse,MOVIE,1985,,87,['comedy'],['AR'],,tt0089108,8.0,6285.0
Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,,144,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],,tt0159511,7.7,1210.0
Agneepath,MOVIE,1990,,174,"['action', 'crime', 'drama']",['IN'],,tt0098999,7.6,8902.0
Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,,72,['comedy'],['GB'],,tt0213984,8.1,1522.0
Too Young The Hero,MOVIE,1988,,100,"['drama', 'war']",['US'],,tt0096286,6.7,494.0
Adam: His Song Continues,MOVIE,1986,,100,"['crime', 'drama']",['US'],,tt0090589,7.0,209.0
Disco Dancer,MOVIE,1982,,134,"['drama', 'romance']",['IN'],,tt0208903,6.5,1449.0
The Ryan White Story,MOVIE,1989,,102,['drama'],['US'],,tt0098237,7.2,857.0
In Defense of a Married Man,MOVIE,1990,,94,"['drama', 'crime']",['US'],,tt0099833,5.6,200.0
Dil,MOVIE,1990,,172,"['romance', 'comedy', 'drama']",['IN'],,tt0099429,6.6,5273.0
Bye Bye London,MOVIE,1982,,170,"['comedy', 'drama']",['KW'],,tt10130668,8.7,154.0
Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,,100,['drama'],['US'],,tt0095945,7.1,144.0
"Alexandria, Again and Forever",MOVIE,1989,,105,['drama'],"['EG', 'FR']",,tt0099858,6.5,643.0
Strange Voices,MOVIE,1987,,100,['drama'],['US'],,tt0094052,6.3,357.0
Aakhri Adaalat,MOVIE,1988,,148,"['action', 'crime', 'thriller']",['IN'],,tt0177505,5.1,92.0
A Stoning in Fulham County,MOVIE,1988,,120,"['crime', 'drama', 'thriller']",['US'],,tt0096179,5.8,380.0
The Married Couples,MOVIE,1981,,194,['drama'],['EG'],,,,
Sayed The Servant,MOVIE,1985,,166,['comedy'],['EG'],,,,
Muqaddar Ka Faisla,MOVIE,1987,,172,"['comedy', 'drama', 'family', 'action']",['IN'],,tt0239682,4.8,68.0
Sohni Mahiwal,MOVIE,1984,,160,"['romance', 'action', 'drama']",['IN'],,tt0807047,6.1,297.0
The Little Wars,MOVIE,1982,,108,"['drama', 'war', 'european']","['FR', 'LB']",,tt0084492,6.3,149.0
Bill Hicks: Sane Man,MOVIE,1989,R,81,['comedy'],['US'],,,,
Duniya,MOVIE,1984,,170,"['drama', 'action']",['IN'],,tt0301231,6.2,241.0
High Risk,SHOW,1988,TV-PG,50,['comedy'],['US'],1.0,tt0094478,3.8,6.0
Pyar Ke Do Pal,MOVIE,1986,,153,"['drama', 'action']",['IN'],,tt0358053,6.1,65.0
Jaal,MOVIE,1986,,159,"['drama', 'thriller', 'action']",['IN'],,tt0239495,5.2,122.0
Mujrim,MOVIE,1989,,162,"['drama', 'action', 'crime']",['IN'],,tt0097926,5.4,188.0
An Egyptian Story,MOVIE,1982,,129,"['fantasy', 'drama']",['EG'],,tt0084042,7.3,1113.0
Ek Jaan Hain Hum,MOVIE,1983,,151,"['family', 'romance']",['IN'],,tt0379272,6.3,70.0
The Quick and the Dead,MOVIE,1995,R,107,"['western', 'thriller', 'action', 'romance']","['US', 'JP']",,tt0114214,6.5,92224.0
Survivor,SHOW,2000,TV-PG,48,['reality'],['US'],42.0,tt0239195,7.4,24368.0
Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['US', 'CA']",10.0,tt0118480,8.4,90196.0
Pokémon,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24.0,tt0168366,7.6,172.0
Forrest Gump,MOVIE,1994,PG-13,142,"['drama', 'romance', 'comedy']",['US'],,tt0109830,8.8,1994599.0
Happy Gilmore,MOVIE,1996,PG-13,92,"['comedy', 'sport']",['US'],,tt0116483,7.0,217534.0
One Piece,SHOW,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21.0,tt0388629,8.8,112586.0
Saving Private Ryan,MOVIE,1998,R,169,"['drama', 'war']",['US'],,tt0120815,8.6,1346020.0
Cowboy Bebop,SHOW,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1.0,tt0213338,8.9,112887.0
Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",['US'],7.0,tt0106145,8.1,61145.0
The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37.0,tt0176095,7.8,3274.0
Gattaca,MOVIE,1997,PG-13,106,"['thriller', 'drama', 'scifi']",['US'],,tt0119177,7.8,298168.0
Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,tt0238784,8.2,119054.0
Blade,MOVIE,1998,R,120,"['action', 'scifi', 'horror']",['US'],,tt0120611,7.1,267181.0
You've Got Mail,MOVIE,1998,PG,119,"['romance', 'drama', 'comedy']",['US'],,tt0128853,6.7,209258.0
Starship Troopers,MOVIE,1997,R,129,"['scifi', 'thriller', 'action']",['US'],,tt0120201,7.3,288960.0
Neon Genesis Evangelion,SHOW,1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],1.0,tt0112159,8.5,64727.0
The Magic School Bus,SHOW,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",4.0,tt0108847,7.8,9708.0
Donnie Brasco,MOVIE,1997,R,127,"['thriller', 'drama', 'crime']",['US'],,tt0119008,7.7,300073.0
Power Rangers,SHOW,1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",['US'],29.0,tt0106064,6.5,21949.0
U.S. Marshals,MOVIE,1998,PG-13,126,"['thriller', 'crime', 'action']",['US'],,tt0120873,6.5,103263.0
Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],4.0,tt0222518,6.2,3808.0
Wild Things,MOVIE,1998,R,108,"['drama', 'thriller', 'crime', 'european']",['US'],,tt0194542,6.6,118811.0
Last Action Hero,MOVIE,1993,PG-13,130,"['comedy', 'action', 'fantasy']",['US'],,tt0107362,6.4,149290.0
Seven Years in Tibet,MOVIE,1997,PG-13,136,"['drama', 'history', 'war']",['US'],,tt0120102,7.1,141308.0
The Devil's Advocate,MOVIE,1997,,144,"['horror', 'thriller', 'drama']","['DE', 'US']",,tt0118971,7.5,361422.0
A River Runs Through It,MOVIE,1992,PG,123,['drama'],['US'],,tt0105265,7.2,59086.0
"Girl, Interrupted",MOVIE,1999,R,127,"['drama', 'european']","['US', 'DE']",,tt0172493,7.3,180532.0
Goosebumps,SHOW,1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4.0,tt0111987,7.6,13361.0
Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,tt4834194,7.2,20888.0
InuYasha,SHOW,2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9.0,tt0290223,7.9,15823.0
Any Given Sunday,MOVIE,1999,R,162,"['drama', 'sport']",['US'],,tt0146838,6.9,118479.0
Menace II Society,MOVIE,1993,R,97,"['drama', 'crime', 'thriller']",['US'],,tt0107554,7.5,57399.0
Desperado,MOVIE,1995,R,104,"['thriller', 'action', 'crime', 'western', 'european']",['US'],,tt0112851,7.1,183638.0
The Mask of Zorro,MOVIE,1998,PG-13,136,"['action', 'thriller', 'western', 'comedy', 'romance']",['US'],,tt0120746,6.8,181306.0
The Patriot,MOVIE,2000,R,165,"['drama', 'action', 'history', 'war']","['DE', 'US']",,tt0187393,7.2,270231.0
Road Trip,MOVIE,2000,R,93,['comedy'],['US'],,tt0215129,6.5,167670.0
Free Willy,MOVIE,1993,PG,112,"['drama', 'family']","['US', 'FR']",,tt0106965,6.0,75244.0
